,Date,User.id,Verified,User Name,Tweet,Location,Source,Likes,Followers,Following,Retweets
0,2020-11-11 23:53:02,1326674328235151361,False,tindall_d,@realDonaldTrump Exactly!! And Election Day poll workers needs to be replaced for the re-count along with the votin… https://t.co/hSqFeHcZQx,,Twitter for iPhone,0,72,260,0
1,2020-11-11 23:52:44,1326674251286540288,False,csandman96,I decided to get notifications every time @realDonaldTrump tweets and it is the most stressful and anxiety driven t… https://t.co/dXfEDo3Exe,"Dallas, TX",Twitter for iPhone,0,250,256,0
2,2020-11-11 23:48:56,1326673293705928704,False,1Paintedgypsy,@realDonaldTrump We stand with you President Donald J Trump!! 🇺🇸🙏❤️ Stay Strong our prayers will strengthen you❤️🇺🇸… https://t.co/Kqig0wREMJ,"Georgian Bay, Ontario",Twitter for iPhone,0,10,22,0
3,2020-11-11 23:46:36,1326672705643536385,False,RaymondRadding3,"@w_terrence The end of the DemocRats Fraud movie!!!
#TrumpPence2020 
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/B3LbTsJczj",,Twitter for Android,0,52,223,0
4,2020-11-11 23:45:17,1326672374557790216,False,faith4liberty,"Elections need to be cleaned up with voter ID, unbiased &amp; confidential! #WalkAway  #ccot #teaparty #tcot #military… https://t.co/IjUYTRMtRZ",Natural Born~USA,Twitter for Android,0,6085,6531,0
5,2020-11-11 23:40:56,1326671279622131712,False,zinemaniac,"#Truth #BidenHarris2020 #TrumpPence2020 

Trump &amp; Biden -- TRUTH In The Streets! https://t.co/e946Gvycfj via @YouTube",,Twitter Web App,0,144,153,0
6,2020-11-11 23:36:22,1326670131666284549,False,ragingpink,"If #BidenHarris truly believe that 77 million voters voted for them, why not allow #TrumpPence2020 to review all th… https://t.co/3SpKzRNrZQ","New York, USA",Twitter Web App,1,122,158,0
7,2020-11-11 23:33:08,1326669318197710849,False,GJEllis509,"Why, America? Why? In today's episode we discuss the election and what our role as Christians is in the midst of th… https://t.co/U2x5GGkJEj",USA,Twitter for Android,0,295,466,0
8,2020-11-11 23:32:49,1326669237344219137,False,MichaelLovegro1,@janverboom @MT4tk @mmpadellan However you review the votes cast you'll find #BidenHarris2020 gained more votes tha… https://t.co/xXhpKQ3iHb,EU/UK/Wales,Twitter for Android,1,532,794,0
9,2020-11-11 23:26:12,1326667573992284160,False,TarotKat,"@monicaonairtalk If I had even the teeniest doubt about my vote for #TrumpPence2020 ...

@jaketapper  threatening p… https://t.co/4ZVIHylHW4",Tel: (210)802-6250,Twitter Web App,2,425,1256,2
10,2020-11-11 23:25:49,1326667478559322112,False,MarkHerms1,@WhiteHouse So stay in the White House and keep those scumbags Biden and Harris out. For the veteran hero’s. #TRUMPPENCE2020,,Twitter for iPhone,0,1,34,0
11,2020-11-11 23:25:08,1326667304139186176,False,SeraSudi,"WE WILL WIN
#TrumpPence2020",,Twitter for iPhone,0,6,168,0
12,2020-11-11 23:24:36,1326667170080808961,False,JaunesPolo,@realDonaldTrump @BarackObama @JoeBiden #USElection2020 we have here the bad clown of the world.  #MAGA2020… https://t.co/xdhtKW7aIt,Bretagne ,Twitter for Android,0,41,135,0
13,2020-11-11 23:22:59,1326666764776853505,False,AfroBsu,African American Society presents: What’s Next For America? 4:30pm-5:30pm THURSDAY #Election2020  #BidenHarris2020… https://t.co/c2zw5ANtHc,"Massachusetts, USA",Twitter for iPhone,3,16,57,1
14,2020-11-11 23:19:20,1326665844479438848,False,beebesst_magaaa,Will @JoeBiden impose national shutdown for ~3% fatality rate?  Don’t let Covid-19 dominate your life — truth from… https://t.co/8eIV51PGif,,Twitter for iPhone,0,2,19,0
15,2020-11-11 23:18:34,1326665653072355329,False,Faith777Trinity,"@CortesSteve #TrumpPence2020 
Winning! Winning! Winning! 
@POTUS 
@realDonaldTrump 
@VP https://t.co/5RGdW21FDV",,Twitter for iPad,0,45,291,0
16,2020-11-11 23:18:04,1326665528652394496,False,DebBee57,"Yes, we will!!!
#TrumpPence2020 
#Trump4MoreYears https://t.co/qY41GLIQrA","Idaho, USA",Twitter for Android,0,289,1153,0
17,2020-11-11 23:16:14,1326665063726534662,False,Farid84150783,"We win because we are right.  Because the conscious people stand by us, democracy and freedom, the people don't wan… https://t.co/mviiNTQSGb",Köln Deutschland,Twitter for iPhone,12,3249,4996,4
18,2020-11-11 23:10:30,1326663620768505858,False,Faith777Trinity,"@realDonaldTrump Winning! Winning! Winning!
@POTUS 
@VP 
#TrumpPence2020 
#OneNationUnderGod 
#InGodWeTrust https://t.co/zyLFIuaCGE",,Twitter for iPad,0,45,291,0
19,2020-11-11 23:08:24,1326663094886600705,False,Faith777Trinity,"Winning! Winning! Winning! 
#TrumpPence2020 https://t.co/eTzlPA7bX8 https://t.co/QDs47L5IEz",,Twitter for iPad,0,45,291,0
20,2020-11-11 23:02:45,1326661673265074176,False,bjminnick,The leader of the nation who told us this is all under control  &amp; will go away can’t even keep it out of the White… https://t.co/IJDZrU7rya,"Clayton, NY",Twitter for iPhone,0,198,359,0
21,2020-11-11 22:49:53,1326658433190260737,False,DebBee57,"@realDonaldTrump DonotConcede @POTUS until every Legal vote is counted.
#TrumpPence2020 
#Trump4MoreYears","Idaho, USA",Twitter for Android,0,289,1153,0
22,2020-11-11 22:46:25,1326657563501490182,False,IVictoreri,New York is RED...#TrumpPence2020 https://t.co/DGWAjGOMnF,"South Miami, FL",Twitter for iPhone,1,434,769,0
23,2020-11-11 22:41:47,1326656395584921602,False,USAisRight,"Too damn bad, spoiled, spoon fed leftist twits!!! 😡 😡 😡. #KAG2020 #TrumpPence2020 #DonaldTrumpIsOurPresident https://t.co/Zv3l0K2m7S",As if ,Twitter for Android,0,730,1943,0
24,2020-11-11 22:40:02,1326655957095559170,False,ept_rudyru,@PatrickFilbin @TimesFreePress Cc: .@TheRealMommyMd Does that answer your question about whether dead people are vo… https://t.co/CxQPjiYKWv,El Paso Del Norte,Twitter for iPhone,0,218,157,0
25,2020-11-11 22:36:33,1326655078321836032,False,Savanna56314324,@realDonaldTrump THAT'S WHAT EVERYONE WANTS HIM TO DO IS CONCED! WHY ARE THE DEMS AND SUPPORTERS RUSHING THAT?? THE… https://t.co/YuHpThKZcM,,Twitter for Android,0,0,28,0
26,2020-11-11 22:31:23,1326653777097728006,False,bunnipounds,Hanging out with my friend Han Solo as I get ready to fly to Nevada to fight voter fraud with the Trump campaign. T… https://t.co/WSRIYtQPtk,"Garland, Texas",Twitter for iPhone,8,1220,1759,0
27,2020-11-11 22:27:16,1326652742761402368,False,kag_maga2020,Biden spoke his truth🧏🏻‍♀️🤔 #Biden2020 #StolenElection #StopTheSteal #2020ElectionResults #AmericasGreatestMistake… https://t.co/Af0PRGsbM8,,Twitter for iPhone,0,0,4,0
28,2020-11-11 22:26:30,1326652550972657667,False,DwarfAir,https://t.co/XQU3DkVBsu Bunch of trash from this company #TrumpPence2020 #trump #Trump2020 #BidenHarris2020 #Biden… https://t.co/hNA6YPnRJS,All Over,Twitter for Android,0,21,25,0
29,2020-11-11 22:18:14,1326650467275976705,False,Sunshine_Dee_1,"@realDonaldTrump Its funny how for 4 years they claimed voter fraud and not my President.....My how the tables turn!
#TRUMPPENCE2020",,Twitter for Android,0,22,139,0
30,2020-11-11 22:14:22,1326649495858376707,False,AfricaWorldNews,The United States must lead by example. #africaworldnews #us2020 #us2020elections #trump #trump2020 #TrumpPence2020… https://t.co/7xFNWDPLT1,Dublin,Instagram,0,2192,269,0
31,2020-11-11 22:13:24,1326649253389799426,False,Mar03_mp,@JoeBiden YOU’RE NOT MY PRESIDENT #NOTMYPRESIDENTBIDEN #TRUMPPENCE2020,GYE🇪🇨🇺🇸IAH,Twitter for iPhone,0,38,401,0
32,2020-11-11 22:11:51,1326648864615636996,False,Ginamarie2017,#TrumpPence2020 SIMPLE: IF THE DEMS refuse to let the republicans observe BY LAW they are hiding something. PERIOD!… https://t.co/OqJf7vrfHS,"Massachusetts, USA",Twitter Web App,0,10,33,0
33,2020-11-11 22:05:25,1326647242745208833,False,debrajoy,"#MAGA people.. $1Million #REWARD for EVIDENCE of VOTER FRAUD! Now is your chance to #ProveIt
@REALdonaldtrump… https://t.co/NTcUMsdAj7","Santa Cruz, CA",Twitter Web App,1,395,925,0
34,2020-11-11 21:53:44,1326644303653908482,False,scotnjones,"Recount Announced In Georgia Sends Democrats Into Panic
 https://t.co/f5cGChpXVY #TrumpPence2020 is going to be a G… https://t.co/NJcnFVvLK8",United States,Twitter for iPhone,1,1385,2797,0
35,2020-11-11 21:52:02,1326643874534748161,False,Sadie_75Resist,"@TeamTrump @realDonaldTrump @DecisionDeskHQ 😆🤦🏽‍♀️😆🤦🏽‍♀️😆🤦🏽‍♀️😆
#Cult45 #GOP #Conservative #TeaParty #Evangelical… https://t.co/csLvAIcftl","San Antonio, TX",Twitter for iPhone,1,5165,4986,0
36,2020-11-11 21:31:14,1326638641880264704,False,shige84110867,"Regarding to UK prime minister @BorisJohnson tweets message to @JoeBiden, there’s “trump” @realDonaldTrump name on… https://t.co/vkRnwtod4i",,Twitter for iPhone,0,2429,2474,1
37,2020-11-11 21:25:58,1326637315809189888,False,ScherrerAguirre,@tedcruz I was reading an Article the other day. That it will take several Months. Before the can bring the COVI19V… https://t.co/kmAbk7JYEu,"Fullerton, CA USA",Twitter for Android,0,7,74,0
38,2020-11-11 21:22:38,1326636475241230336,False,ScherrerAguirre,@tedcruz I don't like CNN MSN (Something) I never watch it. Maybe if President Trump make it better would be nice.… https://t.co/4nhRHIimdg,"Fullerton, CA USA",Twitter for Android,0,7,74,0
39,2020-11-11 21:19:11,1326635608756817922,False,ScherrerAguirre,@Mike_Pence @WhiteHouse @pfizer @realDonaldTrump Oh.! I like Heart's. I just posted something on Facebook. I hope y… https://t.co/hP3P1e2RBZ,"Fullerton, CA USA",Twitter for Android,0,7,74,0
40,2020-11-11 21:14:34,1326634445328310274,False,OwenSte04520569,The election is NOT over. #ElectionDay #Vote2020 #recount #Trump2020 #TrumpPence2020 #freedom #america #conservatism,,Twitter for iPhone,1,3,64,0
41,2020-11-11 21:07:27,1326632655543209985,False,SupremeDigital1,@realDonaldTrump Already sold a bunch of these shirts. Message me if you would like one! #trump #trumppence2020… https://t.co/AgkKNAJBL5,"Boston, MA",Twitter for Android,0,70,85,0
42,2020-11-11 21:07:10,1326632585724878854,False,SupremeDigital1,@realDonaldTrump Already sold a bunch of these shirts. Message me if you would like one! #trump #trumppence2020… https://t.co/KyJ695fSAS,"Boston, MA",Twitter for Android,0,70,85,0
43,2020-11-11 21:05:21,1326632126893023232,False,Christi01692064,"#TrumpPence2020 @realDonaldTrump represents everything wrong and evil in the USA and people who support his lies, m… https://t.co/KeDZtZfPvh","Seattle, WA",Twitter for iPhone,0,24,213,0
44,2020-11-11 21:05:16,1326632107100303360,False,SupremeDigital1,@realDonaldTrump Already sold a bunch of these shirts. Message me if you would like one! #trump #trumppence2020… https://t.co/BvSBxOTuDq,"Boston, MA",Twitter for Android,2,70,85,1
45,2020-11-11 20:59:20,1326630614607523842,False,peacesignpam,We must Pray for these Two Great Leaders! #TrumpPence2020 https://t.co/VYHgINGBxf,Smitten in the Mitten,TweetDeck,1,1230,872,0
46,2020-11-11 20:48:49,1326627968156839938,False,HezzieMccaleb,This is shameful @realDonaldTrump KNOWS he LOST there’s no mathematical way to make up the difference concede and m… https://t.co/4M527Wo01S,"Florida, USA",Twitter for iPhone,0,753,1823,0
47,2020-11-11 20:45:37,1326627161520951297,False,chetbtester,"MSM trying to raise #JoeChina on Mount SonFaBitchy.

Sorry - #NoJoeNoHoe #TrumpPence2020 https://t.co/71AbXumqny",,Twitter Web App,1,3227,3270,1
48,2020-11-11 20:37:55,1326625224217956352,False,FungusFaces,@Twitter Masks don’t do anything you idiot. #TrumpPence2020,,Twitter for iPad,0,11,68,0
49,2020-11-11 20:36:37,1326624898530369537,False,MiroMarolt,"To to yes !!!! #Vote2020     
#ElectionNight     
#2020Elections #ElectionNightOnRT #Trump2020 #Biden2020… https://t.co/59ZRHqnMB4",Republic of Slovenia,Twitter for iPhone,1,66,291,0
50,2020-11-11 20:33:25,1326624089566449664,False,DovidMenkes,"I’m proud of my president and can’t wait for another 4 years!!! 
#CountEveryLegalVote #TrumpPence2020 
#TrumpTrain https://t.co/ZCQvX2EnKp","Santa Monica, CA",Twitter for iPhone,0,25,91,0
51,2020-11-11 20:32:50,1326623946351935488,False,tanalee,@RealCandaceO @JoeBiden Be nice. His loss of mental accuity is not his fault. Blame the vicious people who put him… https://t.co/1zfpRdJ0ml,Hawaii,Twitter for Android,1,569,1262,0
52,2020-11-11 20:24:19,1326621802869653504,False,malae_sega,"#,#TrumpPence2020. Iron sharpens Iron. God is with you all the way. https://t.co/8JKUg6xYB9",Sydney,Twitter for Android,0,140,326,0
53,2020-11-11 20:24:01,1326621724373364738,False,luvmy3byz71,@hodgetwins Thats right!!! YEEEEEEAH!!! #TRUMPPENCE2020,"Philadelphia, PA ",Twitter for Android,0,1055,2009,0
54,2020-11-11 20:19:22,1326620553457905670,False,786Mo_s,I witnessed electoral fraud from my armchair in the UK. Will it get me on the comedy hour on Fox News  #FoxNews… https://t.co/VVfU9RQjgv,,Twitter Web App,1,5,19,0
55,2020-11-11 20:11:25,1326618553043312641,False,YourNewsMedia,"TRUMP: “I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.”… https://t.co/cnF667vIHf",United States,Twitter Web App,1,140,106,1
56,2020-11-11 20:07:47,1326617641537204227,False,YourNewsMedia,"""We’ve reported on numerous events in the 2020 #election which are being referred to as system ‘#glitches’ in the m… https://t.co/VkZxjM7bh6",United States,Twitter Web App,0,140,106,0
57,2020-11-11 19:56:07,1326614703024582659,False,YourNewsMedia,"""The #GatewayPundit has reported on numerous events in the 2020 #election which are being referred to as system ‘gl… https://t.co/5TfrnMPlMI",United States,Twitter Web App,0,140,106,0
58,2020-11-11 19:55:40,1326614590613024770,False,TheTommyJones45,Just wanted to come on here real quick go say @KingJames you're a bitch...that is all please carry on with your reg… https://t.co/re8Wpx9dfQ,,Twitter for Android,0,9,87,0
59,2020-11-11 19:40:28,1326610765806252033,False,HigbeeErnest,@DineshDSouza @DonaldJTrumpJr @IngrahamAngle 🙌😱🙌 Thank you Biden supporters for being so irresponsible with our Democracy! #TrumpPence2020,,Twitter for iPhone,0,1,19,0
60,2020-11-11 19:26:26,1326607234491543552,False,LiveFreeOrDie4U,Watching... #LoseTheRINOs #RINOsAreWeak #DeportSocialists #TermLimits #TermLimitsNow #TermLimitsForCongress… https://t.co/995BTIHIYg,"San Diego, CA USA",Twitter Web App,0,1409,1516,0
61,2020-11-11 19:23:56,1326606606012911623,False,ErolMicah,@DonaldJTrumpJr You are exactly right!!! #TrumpPence2020 the world depends on it!,,Twitter for iPhone,0,0,11,0
62,2020-11-11 19:13:55,1326604084154134532,False,KEEPINGTNRED,"TRUMP 232
BIDEN 226

#TrumpPence2020 
#BidenIsNotPresidentElect

https://t.co/knIoFof1iq","Tennessee, USA",Twitter for Android,103,18885,19867,99
63,2020-11-11 19:07:26,1326602454088126464,False,benjaminchacko,"""Price of freedom is high, always has been, and it's a price I'm willing to pay. "" Captain America: The Winter Sold… https://t.co/mi0HpxDm5X",Remote,Twitter Web App,0,513,465,0
64,2020-11-11 18:54:46,1326599266220044295,False,Joeyr469,"These numbers are so close and the looking at ballots has just begun.

#StopTheSteal #RealResistance… https://t.co/8Vwueo52FC",,Twitter for Android,0,55,110,1
